id,title,title_japanese,type,source,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity,members,favorites,rating,duration,year,season,genres,studios,image_url,synopsis
3786,Shin Evangelion Movie:||,シン・エヴァンゲリオン劇場版𝄇,Movie,Original,1,Finished Airing,2021-03-08T00:00:00+00:00,,8.58,194731,122,634,427762,8314,PG-13 - Teens 13 or older,2 hr 35 min,,,"Award Winning, Drama, Sci-Fi, Suspense",Khara,https://cdn.myanimelist.net/images/anime/1422/113533.jpg,"Following NERV's failed attempt to retrieve the Spears of Longinus and carry out the Human Instrumentality Project, the destruction caused by the Fourth Impact has been largely averted. In a state of disarray, Shinji Ikari, Asuka Langley Shikinami, and Rei Ayanami travel to Village 3—a survivor settlement free from Earth's ruination. There, Shinji slowly comes to terms with his past, developing an entirely different life from his days as an Evangelion pilot.

Meanwhile, NERV makes preparations t"
3787,The Supergal,ザ・超女[ザ・スーパーギャル],OVA,Manga,1,Finished Airing,1986-06-05T00:00:00+00:00,,6,2554,10841,8953,6032,5,R+ - Mild Nudity,48 min,,,"Comedy, Sci-Fi",Studio Pierrot,https://cdn.myanimelist.net/images/anime/11/41453.jpg,"Despite being a refugee from an extinct planet, having an alcoholic as a father and an airhead for a mother, Maris' biggest problem is that she's a Thanatosian. Considering that Thanatosians are six times stronger than the average Earthling it shouldn't be such a curse, especially in a galaxy where violence is rife. But the accidental destruction she wreaks on everything she touches —even with the exotic alloy restraints she wears— means she's constantly in debt. Every mission she's assigned to "
3791,Air Gear Special,エア・ギア,Special,Manga,1,Finished Airing,2007-03-21T00:00:00+00:00,,7.24,25548,3427,3691,48621,73,R+ - Mild Nudity,23 min,,,"Comedy, Sports, Ecchi","Toei Animation, Marvelous Entertainment",https://cdn.myanimelist.net/images/anime/1902/97393.jpg,Takes part a while after Ikki accepts Simca's offer to become the new leader of Genesis. Shows the Battle between Kogarasumaru and Potemkine. The episode takes place between episodes 21 and 22 of the main series.
3793,Dyogrammaton,ジオグラマトン,OVA,Visual novel,2,Finished Airing,2006-12-15T00:00:00+00:00,2007-02-23T00:00:00+00:00,5.27,1119,,10876,3391,5,Rx - Hentai,22 min per ep,,,Hentai,Azeta Pictures,https://cdn.myanimelist.net/images/anime/1836/111982.jpg,"Based on an adult game by CLOCKUP.

An enormous monster appears and attacks the city, only to be thwarted by the amazingly voluptuous superheroines! Explosive action, dynamite sex scenes and battle royales take place in this futuristic flight of fantastic proportions that will make you cream in your pants!

(Source: AniDB)"
3795,Hana to Hebi The Animation,花と蛇 The Animation,OVA,Visual novel,3,Finished Airing,2006-07-21T00:00:00+00:00,2006-09-22T00:00:00+00:00,5.88,1023,,10517,3774,12,Rx - Hentai,28 min per ep,,,Hentai,Sumomo Film,https://cdn.myanimelist.net/images/anime/1145/114993.jpg,"Shizuko, a 26-year-old housewife, is lured into a trap when her stepdaughter is kidnapped by the Kizakura gang. The kidnapping scheme was hatched by an evil CEO whose main goal is to make Shizuko his sex slave. Eventually, she's coerced into performing a bizarre sex show in front of a large audience. They force Shizuko to perform with her stepdaughter. Though she refuses at first, she gradually accepts and decides to roll with the twisted pleasure of it all.

(Source: AniDB)"
3799,Speed,スピード,Movie,Unknown,1,Finished Airing,1980-01-01T00:00:00+00:00,,5.01,820,14369,13361,1657,0,G - All Ages,5 min,,,"Award Winning, Comedy",Takun Manga Box,https://cdn.myanimelist.net/images/anime/11/6757.jpg,"Short film by Furukawa Taku chronicalling human progress, or lack of it."
3800,Arrow Emblem Grand Prix no Taka,アローエンブレム　グランプリの鷹,TV,Unknown,44,Finished Airing,1977-09-22T00:00:00+00:00,1978-08-31T00:00:00+00:00,6.69,906,6584,11680,2733,4,PG-13 - Teens 13 or older,24 min per ep,1977,fall,Drama,Toei Animation,https://cdn.myanimelist.net/images/anime/1718/99949.jpg,"An anime with much of wheel actions ... Takaya Todoroki, a young man who wants to become a famous driver and built a car to be able to participate in a race with a big prize. In the race, because of the poor quality of building, Takaya has a serious accident in which he wrecked his car but he doesn`t hurt himself. That`s when a mysterious driver contact Takaya to enter onto some famous racing team...This mysterious man is a former driver .. a very famous one who appears every now and then to hel"
3801,Yami no Teio: Kyuuketsuki Dracula,闇の帝王　吸血鬼ドラキュラ,TV Special,Other,1,Finished Airing,1980-08-19T00:00:00+00:00,,3.85,2657,14986,9504,5167,9,R - 17+ (violence & profanity),1 hr 34 min,,,Horror,Toei Animation,https://cdn.myanimelist.net/images/anime/1349/100882.jpg,"On a seemingly normal night in Boston, a satanic ritual is taking place: a bride is to be offered up as a sacrifice. However, Dracula, the King of Vampires, swoops in and steals her, with the intent of depriving the woman of both her blood and her life. And yet, despite his earlier motives for abducting the bride, Dracula is astonished by her beauty and decides to keep the woman as his wife. 

He and Domini, his spouse, lead a fruitful life together, bearing a healthy son by the name of Janus, w"
3802,Gakuen Nanafushigi,学艶七不思議,OVA,Manga,2,Finished Airing,2003-10-25T00:00:00+00:00,2004-02-25T00:00:00+00:00,6.08,1287,,10166,4212,3,Rx - Hentai,28 min per ep,,,"Supernatural, Hentai",Studio Jam,https://cdn.myanimelist.net/images/anime/1723/112174.jpg,"When Kumi and her friends play around with a witchboard, they accidentally summon a malevolent ghost. The ghost possesses the girls, using them to steal people's sexual energy. Soon, Kumi is no longer acting on her own freewill and is unconsciously seeking sex with men. Frightened, Kumi seeks the council of an exorcist, Mia Kakuta. Meanwhile, a rapist with other-worldly powers is on the loose. When exorcist Mia investigates, she finds a man with an insatiable sexual appetite looking to fulfill h"
3805,Kaitou Tenshi Twin Angel,快盗天使ツインエンジェル,OVA,Game,2,Finished Airing,2008-08-08T00:00:00+00:00,2008-10-02T00:00:00+00:00,6.11,2318,10212,8505,6856,2,PG-13 - Teens 13 or older,30 min per ep,,,,Nomad,https://cdn.myanimelist.net/images/anime/12/10017.jpg,"Haruka Minazuki and Aoi Kannazuki are freshman high school students and best friends. During the day they help with school activities but at night they thwart enemies like Black Auction and other villains as Red Angel and Blue Angel, the Twin Angel team."
